date,open,high,low,close,volume
2021-06-02 20:08:00,37872.2,37888.1,37856.9,37856.9,37865.3
2021-06-02 20:09:00,37856.4,37856.4,37823.2,37823.2,37837.7
2021-06-02 20:10:00,37823.2,37823.3,37701.0,37729.6,37808.7
2021-06-02 20:11:00,37701.5,37758.7,37701.5,37754.0,37736.0
2021-06-02 20:12:00,37736.1,37753.9,37728.7,37738.1,37735.7
2021-06-02 20:13:00,37731.2,37760.7,37729.8,37758.5,37756.7
2021-06-02 20:14:00,37760.3,37774.4,37750.1,37774.4,37755.4
2021-06-02 20:15:00,37782.1,37798.1,37745.0,37745.0,37750.2
2021-06-02 20:16:00,37745.0,37745.0,37651.2,37686.2,37717.8
2021-06-02 20:17:00,37673.0,37714.3,37671.5,37676.3,37691.9
2021-06-02 20:18:00,37683.0,37686.6,37632.9,37639.9,37660.6
2021-06-02 20:19:00,37638.2,37648.1,37626.0,37637.7,37632.7
2021-06-02 20:20:00,37631.9,37682.1,37630.2,37682.1,37665.8
2021-06-02 20:21:00,37682.2,37703.0,37651.1,37651.1,37669.7
2021-06-02 20:22:00,37651.2,37690.9,37651.1,37671.1,37653.8
2021-06-02 20:23:00,37668.1,37689.9,37664.5,37675.0,37683.1
2021-06-02 20:24:00,37663.7,37680.3,37660.4,37675.8,37678.6
2021-06-02 20:25:00,37652.9,37675.6,37651.2,37673.9,37663.2
2021-06-02 20:26:00,37683.6,37711.0,37683.6,37704.2,37693.9
2021-06-02 20:27:00,37702.2,37710.8,37701.0,37710.8,37702.7
2021-06-02 20:28:00,37708.9,37711.8,37682.4,37682.4,37701.7
2021-06-02 20:29:00,37691.8,37696.3,37657.1,37657.1,37690.7
2021-06-02 20:30:00,37665.8,37689.7,37665.8,37680.0,37684.3
2021-06-02 20:31:00,37679.9,37700.0,37679.9,37691.1,37685.4
2021-06-02 20:32:00,37691.0,37691.1,37691.0,37691.1,37691.0
2021-06-02 20:33:00,37691.1,37691.1,37625.3,37632.4,37642.9
2021-06-02 20:34:00,37632.4,37659.1,37632.4,37643.8,37643.8
2021-06-02 20:35:00,37643.8,37691.9,37643.8,37691.9,37663.2
2021-06-02 20:36:00,37691.9,37708.4,37691.9,37707.5,37695.8
2021-06-02 20:37:00,37708.3,37724.7,37708.3,37724.1,37718.9
2021-06-02 20:38:00,37724.2,37728.1,37704.1,37715.0,37719.0
2021-06-02 20:39:00,37715.0,37727.8,37715.0,37725.1,37724.3
2021-06-02 20:40:00,37727.5,37733.0,37691.0,37691.0,37715.4
2021-06-02 20:41:00,37690.4,37698.1,37690.4,37692.9,37692.5
2021-06-02 20:42:00,37708.5,37753.0,37691.9,37745.9,37719.3
2021-06-02 20:43:00,37745.8,37753.0,37729.7,37729.7,37744.8
2021-06-02 20:44:00,37729.7,37735.7,37720.9,37723.6,37729.7
2021-06-02 20:45:00,37722.3,37741.7,37722.3,37741.7,37737.9
2021-06-02 20:46:00,37750.0,37754.5,37744.5,37749.5,37750.2
2021-06-02 20:47:00,37749.5,37749.5,37731.0,37737.7,37744.7
2021-06-02 20:48:00,37744.0,37750.0,37741.0,37750.0,37743.7
2021-06-02 20:49:00,37750.0,37750.0,37732.2,37735.4,37749.1
2021-06-02 20:50:00,37735.3,37735.4,37723.0,37735.1,37732.1
2021-06-02 20:51:00,37735.7,37740.7,37730.5,37730.5,37732.4
2021-06-02 20:52:00,37730.5,37731.5,37710.0,37710.0,37716.7
2021-06-02 20:53:00,37710.0,37710.1,37685.0,37685.1,37709.5
2021-06-02 20:54:00,37685.1,37709.9,37685.0,37705.2,37691.6
2021-06-02 20:55:00,37703.7,37706.7,37700.8,37706.7,37703.6
2021-06-02 20:56:00,37706.7,37758.9,37706.7,37758.8,37737.9
2021-06-02 20:57:00,37758.9,37758.9,37758.8,37758.9,37758.8
2021-06-02 20:58:00,37758.9,37758.9,37758.8,37758.9,37758.8
2021-06-02 20:59:00,37758.9,37758.9,37758.8,37758.9,37758.8
2021-06-02 21:00:00,37758.8,37778.4,37758.8,37778.4,37770.6
2021-06-02 21:01:00,37778.4,37785.0,37776.9,37777.5,37778.8
2021-06-02 21:02:00,37779.8,37798.8,37775.6,37798.8,37788.5
2021-06-02 21:03:00,37797.6,37847.2,37797.6,37814.9,37820.5
2021-06-02 21:04:00,37819.7,37820.7,37800.3,37810.0,37803.3
2021-06-02 21:05:00,37819.8,37819.8,37800.3,37800.3,37800.9
2021-06-02 21:06:00,37800.3,37803.4,37800.3,37803.4,37800.6
2021-06-02 21:07:00,37803.3,37803.4,37803.3,37803.4,37803.3
2021-06-02 21:08:00,37803.4,37803.4,37803.3,37803.4,37803.3
2021-06-02 21:09:00,37803.4,37803.5,37803.4,37803.4,37803.4
2021-06-02 21:10:00,37803.4,37803.4,37803.4,37803.4,37803.4
2021-06-02 21:11:00,37803.4,37830.1,37803.3,37830.1,37805.3
2021-06-02 21:12:00,37830.1,37830.1,37830.0,37830.1,37830.0
2021-06-02 21:13:00,37830.0,37830.1,37830.0,37830.0,37830.0
2021-06-02 21:14:00,37830.0,37850.0,37830.0,37850.0,37832.0
2021-06-02 21:15:00,37848.2,37850.0,37830.2,37850.0,37844.9
2021-06-02 21:16:00,37870.0,37888.0,37870.0,37878.8,37883.5
2021-06-02 21:17:00,37861.2,37892.3,37861.2,37892.3,37871.1
2021-06-02 21:18:00,37892.2,37901.0,37892.1,37900.8,37898.4
2021-06-02 21:19:00,37900.9,37903.2,37888.0,37888.1,37901.0
2021-06-02 21:20:00,37888.1,37910.0,37888.1,37895.5,37899.3
2021-06-02 21:21:00,37888.1,37888.1,37831.2,37831.2,37846.0
2021-06-02 21:22:00,37831.1,37837.4,37830.0,37837.4,37830.4
2021-06-02 21:23:00,37841.0,37841.0,37826.5,37826.5,37829.7
2021-06-02 21:24:00,37831.6,37838.5,37826.5,37832.9,37834.9
2021-06-02 21:25:00,37832.9,37837.6,37823.9,37828.3,37826.9
2021-06-02 21:26:00,37824.0,37824.0,37810.0,37810.1,37817.4
2021-06-02 21:27:00,37810.1,37810.1,37810.0,37810.0,37810.0
2021-06-02 21:28:00,37810.0,37810.1,37810.0,37810.1,37810.0
2021-06-02 21:29:00,37810.1,37810.1,37803.4,37803.4,37809.9
2021-06-02 21:30:00,37803.5,37803.5,37803.5,37803.5,37803.5
